observable,z,n,partition_seed,fold
charge_radius,49,63,0,4
charge_radius,49,64,0,4
charge_radius,49,65,0,4
charge_radius,49,66,0,4
charge_radius,49,67,0,4
charge_radius,49,68,0,4
charge_radius,49,69,0,4
charge_radius,49,70,0,4
charge_radius,49,71,0,4
charge_radius,49,72,0,4
charge_radius,49,73,0,4
charge_radius,49,74,0,4
charge_radius,49,75,0,4
charge_radius,49,76,0,4
charge_radius,49,77,0,4
charge_radius,49,78,0,4
charge_radius,50,58,0,3
charge_radius,50,59,0,3
charge_radius,50,60,0,4
charge_radius,50,61,0,4
charge_radius,50,62,0,4
charge_radius,50,63,0,4
charge_radius,50,64,0,4
charge_radius,50,65,0,4
charge_radius,50,66,0,4
charge_radius,50,67,0,4
charge_radius,50,68,0,4
charge_radius,50,69,0,4
charge_radius,50,70,0,4
charge_radius,50,71,0,4
charge_radius,50,72,0,4
charge_radius,50,73,0,4
charge_radius,50,74,0,4
charge_radius,50,75,0,4
charge_radius,50,76,0,4
charge_radius,50,77,0,4
charge_radius,50,78,0,4
charge_radius,50,79,0,4
charge_radius,50,80,0,4
charge_radius,50,81,0,4
charge_radius,50,82,0,4
charge_radius,51,70,0,4
charge_radius,51,72,0,4
charge_radius,52,64,0,4
charge_radius,52,66,0,4
charge_radius,52,68,0,4
charge_radius,52,70,0,4
charge_radius,52,71,0,4
charge_radius,52,72,0,4
charge_radius,52,73,0,4
charge_radius,52,74,0,4
charge_radius,52,76,0,4
charge_radius,52,78,0,4
charge_radius,52,80,0,4
charge_radius,52,82,0,4
charge_radius,52,84,0,4
charge_radius,53,74,0,4
charge_radius,54,62,0,4
charge_radius,54,64,0,4
charge_radius,54,66,0,4
charge_radius,54,68,0,4
charge_radius,54,70,0,4
charge_radius,54,72,0,4
charge_radius,54,73,0,4
charge_radius,54,74,0,4
charge_radius,54,75,0,4
charge_radius,54,76,0,4
charge_radius,54,77,0,4
charge_radius,54,78,0,4
charge_radius,54,79,0,4
charge_radius,54,80,0,4
charge_radius,54,82,0,4
charge_radius,54,83,0,4
charge_radius,54,84,0,4
charge_radius,54,85,0,4
charge_radius,54,86,0,4
charge_radius,54,87,0,4
charge_radius,54,88,0,4
charge_radius,54,89,0,4
charge_radius,54,90,0,4
charge_radius,54,92,0,4
charge_radius,55,63,0,4
charge_radius,55,64,0,4
charge_radius,55,65,0,4
charge_radius,55,66,0,4
charge_radius,55,67,0,4
charge_radius,55,68,0,4
charge_radius,55,69,0,4
charge_radius,55,70,0,4
charge_radius,55,71,0,4
charge_radius,55,72,0,4
charge_radius,55,73,0,4
charge_radius,55,74,0,4
charge_radius,55,75,0,4
charge_radius,55,76,0,4
charge_radius,55,77,0,4
charge_radius,55,78,0,4
charge_radius,55,79,0,4
charge_radius,55,80,0,4
charge_radius,55,81,0,4
charge_radius,55,82,0,4
charge_radius,55,83,0,4
charge_radius,55,84,0,4
charge_radius,55,85,0,4
charge_radius,55,86,0,4
charge_radius,55,87,0,4
charge_radius,55,88,0,4
charge_radius,55,89,0,4
charge_radius,55,90,0,4
charge_radius,55,91,0,4
charge_radius,56,64,0,4
charge_radius,56,65,0,4
charge_radius,56,66,0,4
charge_radius,56,67,0,4
charge_radius,56,68,0,4
charge_radius,56,69,0,4
charge_radius,56,70,0,4
charge_radius,56,71,0,4
charge_radius,56,72,0,4
charge_radius,56,73,0,4
charge_radius,56,74,0,4
charge_radius,56,75,0,4
charge_radius,56,76,0,4
charge_radius,56,77,0,4
charge_radius,56,78,0,4
charge_radius,56,79,0,4
charge_radius,56,80,0,4
charge_radius,56,81,0,4
charge_radius,56,82,0,4
charge_radius,56,83,0,4
charge_radius,56,84,0,4
charge_radius,56,85,0,4
charge_radius,56,86,0,4
charge_radius,56,87,0,4
charge_radius,56,88,0,4
charge_radius,56,89,0,4
charge_radius,56,90,0,4
charge_radius,56,92,0,4
charge_radius,57,78,0,4
charge_radius,57,80,0,4
charge_radius,57,81,0,4
charge_radius,57,82,0,4
charge_radius,58,78,0,4
charge_radius,58,80,0,4
charge_radius,58,82,0,4
charge_radius,58,84,0,4
charge_radius,58,86,0,4
charge_radius,58,88,0,4
charge_radius,58,90,0,4
charge_radius,59,82,0,4
charge_radius,60,72,0,4
charge_radius,60,74,0,4
charge_radius,60,75,0,4
charge_radius,60,76,0,4
charge_radius,60,77,0,4
charge_radius,60,78,0,4
charge_radius,60,79,0,4
charge_radius,60,80,0,4
charge_radius,60,81,0,4
charge_radius,60,82,0,4
charge_radius,60,83,0,4
charge_radius,60,84,0,4
charge_radius,60,85,0,4
charge_radius,60,86,0,4
charge_radius,60,88,0,0
charge_radius,60,90,0,0
charge_radius,62,76,0,4
charge_radius,62,77,0,4
charge_radius,62,78,0,4
charge_radius,62,79,0,4
charge_radius,62,80,0,4
charge_radius,62,81,0,4
charge_radius,62,82,0,4
charge_radius,62,83,0,4
charge_radius,62,84,0,0
charge_radius,62,85,0,0
charge_radius,62,86,0,0
charge_radius,62,87,0,0
charge_radius,62,88,0,0
charge_radius,62,89,0,0
charge_radius,62,90,0,0
charge_radius,62,91,0,0
charge_radius,62,92,0,0
charge_radius,63,74,0,4
charge_radius,63,75,0,4
charge_radius,63,76,0,4
charge_radius,63,77,0,4
charge_radius,63,78,0,4
charge_radius,63,79,0,4
charge_radius,63,80,0,4
charge_radius,63,81,0,4
charge_radius,63,82,0,0
charge_radius,63,83,0,0
charge_radius,63,84,0,0
charge_radius,63,85,0,0
charge_radius,63,86,0,0
charge_radius,63,87,0,0
charge_radius,63,88,0,0
charge_radius,63,89,0,0
charge_radius,63,90,0,0
charge_radius,63,91,0,0
charge_radius,63,92,0,0
charge_radius,63,93,0,0
charge_radius,63,94,0,0
charge_radius,63,95,0,0
charge_radius,63,96,0,0
charge_radius,64,81,0,0
charge_radius,64,82,0,0
charge_radius,64,84,0,0
charge_radius,64,86,0,0
charge_radius,64,88,0,0
charge_radius,64,90,0,0
charge_radius,64,91,0,0
charge_radius,64,92,0,0
charge_radius,64,93,0,0
charge_radius,64,94,0,0
charge_radius,64,96,0,0
charge_radius,65,82,0,0
charge_radius,65,83,0,0
charge_radius,65,84,0,0
charge_radius,65,85,0,0
charge_radius,65,86,0,0
charge_radius,65,87,0,0
charge_radius,65,88,0,0
charge_radius,65,89,0,0
charge_radius,65,90,0,0
charge_radius,65,92,0,0
charge_radius,65,94,0,0
charge_radius,66,80,0,0
charge_radius,66,82,0,0
charge_radius,66,83,0,0
charge_radius,66,84,0,0
charge_radius,66,85,0,0
charge_radius,66,86,0,0
charge_radius,66,87,0,0
charge_radius,66,88,0,0
charge_radius,66,89,0,0
charge_radius,66,90,0,0
charge_radius,66,91,0,0
charge_radius,66,92,0,0
charge_radius,66,93,0,0
charge_radius,66,94,0,0
charge_radius,66,95,0,0
charge_radius,66,96,0,0
charge_radius,66,97,0,0
charge_radius,66,98,0,0
charge_radius,67,84,0,0
charge_radius,67,85,0,0
charge_radius,67,86,0,0
charge_radius,67,87,0,0
charge_radius,67,88,0,0
charge_radius,67,89,0,0
charge_radius,67,90,0,0
charge_radius,67,91,0,0
charge_radius,67,92,0,0
charge_radius,67,93,0,0
charge_radius,67,94,0,0
charge_radius,67,95,0,0
charge_radius,67,96,0,0
charge_radius,67,98,0,0
charge_radius,68,82,0,0
charge_radius,68,84,0,0
charge_radius,68,86,0,0
charge_radius,68,88,0,0
charge_radius,68,90,0,0
charge_radius,68,92,0,0
charge_radius,68,94,0,0
charge_radius,68,96,0,0
charge_radius,68,98,0,0
charge_radius,68,99,0,0
charge_radius,68,100,0,0
charge_radius,68,102,0,0
charge_radius,69,84,0,0
charge_radius,69,85,0,0
charge_radius,69,87,0,0
charge_radius,69,88,0,0
charge_radius,69,89,0,0
charge_radius,69,90,0,0
charge_radius,69,91,0,0
charge_radius,69,92,0,0
charge_radius,69,93,0,0
charge_radius,69,94,0,0
charge_radius,69,95,0,0
charge_radius,69,96,0,0
charge_radius,69,97,0,0
charge_radius,69,98,0,0
charge_radius,69,99,0,0
charge_radius,69,100,0,0
charge_radius,69,101,0,0
charge_radius,69,102,0,0
charge_radius,69,103,0,0
charge_radius,70,82,0,0
charge_radius,70,84,0,0
charge_radius,70,85,0,0
charge_radius,70,86,0,0
charge_radius,70,87,0,0
charge_radius,70,88,0,0
charge_radius,70,89,0,0
charge_radius,70,90,0,0
charge_radius,70,91,0,0
charge_radius,70,92,0,0
charge_radius,70,93,0,0
charge_radius,70,94,0,0
charge_radius,70,95,0,0
charge_radius,70,96,0,0
charge_radius,70,97,0,0
charge_radius,70,98,0,0
charge_radius,70,99,0,0
charge_radius,70,100,0,0
charge_radius,70,101,0,0
charge_radius,70,102,0,0
charge_radius,70,103,0,0
charge_radius,70,104,0,0
charge_radius,70,105,0,0
charge_radius,70,106,0,0
charge_radius,71,90,0,0
charge_radius,71,91,0,0
charge_radius,71,92,0,0
charge_radius,71,93,0,0
charge_radius,71,94,0,0
charge_radius,71,95,0,0
charge_radius,71,96,0,0
charge_radius,71,97,0,0
charge_radius,71,98,0,0
charge_radius,71,99,0,0
charge_radius,71,100,0,0
charge_radius,71,101,0,0
charge_radius,71,102,0,0
charge_radius,71,103,0,0
charge_radius,71,104,0,0
charge_radius,71,105,0,0
charge_radius,71,106,0,0
charge_radius,71,107,0,0
charge_radius,71,108,0,0
charge_radius,72,98,0,0
charge_radius,72,99,0,0
charge_radius,72,100,0,0
charge_radius,72,101,0,0
charge_radius,72,102,0,0
charge_radius,72,103,0,0
charge_radius,72,104,0,0
charge_radius,72,105,0,0
charge_radius,72,106,0,0
charge_radius,72,107,0,0
charge_radius,72,108,0,0
charge_radius,72,110,0,0
charge_radius,73,108,0,0
charge_radius,74,106,0,0
charge_radius,74,108,0,0
charge_radius,74,109,0,0
charge_radius,74,110,0,2
charge_radius,74,112,0,2
charge_radius,75,110,0,2
charge_radius,75,112,0,2
charge_radius,76,108,0,2
charge_radius,76,110,0,2
charge_radius,76,111,0,2
charge_radius,76,112,0,2
charge_radius,76,113,0,2
charge_radius,76,114,0,2
charge_radius,76,116,0,2
charge_radius,77,105,0,0
charge_radius,77,106,0,2
charge_radius,77,107,0,2
charge_radius,77,108,0,2
charge_radius,77,109,0,2
charge_radius,77,110,0,2
charge_radius,77,111,0,2
charge_radius,77,112,0,2
charge_radius,77,114,0,2
charge_radius,77,116,0,2
charge_radius,78,100,0,0
charge_radius,78,101,0,0
charge_radius,78,102,0,0
charge_radius,78,103,0,0
charge_radius,78,104,0,0
charge_radius,78,105,0,2
charge_radius,78,106,0,2
charge_radius,78,107,0,2
charge_radius,78,108,0,2
charge_radius,78,109,0,2
charge_radius,78,110,0,2
charge_radius,78,111,0,2
charge_radius,78,112,0,2
charge_radius,78,113,0,2
charge_radius,78,114,0,2
charge_radius,78,115,0,2
charge_radius,78,116,0,2
charge_radius,78,117,0,2
charge_radius,78,118,0,2
charge_radius,78,120,0,2
charge_radius,79,104,0,2
charge_radius,79,105,0,2
charge_radius,79,106,0,2
charge_radius,79,107,0,2
charge_radius,79,108,0,2
charge_radius,79,109,0,2
charge_radius,79,110,0,2
charge_radius,79,111,0,2
charge_radius,79,112,0,2
charge_radius,79,113,0,2
charge_radius,79,114,0,2
charge_radius,79,115,0,2
charge_radius,79,116,0,2
charge_radius,79,117,0,2
charge_radius,79,118,0,2
charge_radius,79,119,0,2
charge_radius,79,120,0,2
charge_radius,80,101,0,0
charge_radius,80,102,0,2
charge_radius,80,103,0,2
charge_radius,80,104,0,2
charge_radius,80,105,0,2
charge_radius,80,106,0,2
charge_radius,80,107,0,2
charge_radius,80,108,0,2
charge_radius,80,109,0,2
charge_radius,80,110,0,2
charge_radius,80,111,0,2
charge_radius,80,112,0,2
charge_radius,80,113,0,2
charge_radius,80,114,0,2
charge_radius,80,115,0,2
charge_radius,80,116,0,2
charge_radius,80,117,0,2
charge_radius,80,118,0,2
charge_radius,80,119,0,2
charge_radius,80,120,0,2
charge_radius,80,121,0,2
charge_radius,80,122,0,2
charge_radius,80,123,0,2
charge_radius,80,124,0,2
charge_radius,80,125,0,2
charge_radius,80,126,0,2
charge_radius,81,107,0,2
charge_radius,81,109,0,2
charge_radius,81,110,0,2
charge_radius,81,111,0,2
charge_radius,81,112,0,2
charge_radius,81,113,0,2
charge_radius,81,114,0,2
charge_radius,81,115,0,2
charge_radius,81,116,0,2
charge_radius,81,117,0,2
charge_radius,81,118,0,2
charge_radius,81,119,0,2
charge_radius,81,120,0,2
charge_radius,81,121,0,2
charge_radius,81,122,0,2
charge_radius,81,123,0,2
charge_radius,81,124,0,2
charge_radius,81,126,0,2
charge_radius,81,127,0,2
charge_radius,82,100,0,2
charge_radius,82,101,0,2
charge_radius,82,102,0,2
charge_radius,82,103,0,2
charge_radius,82,104,0,2
charge_radius,82,105,0,2
charge_radius,82,106,0,2
charge_radius,82,107,0,2
charge_radius,82,108,0,2
charge_radius,82,109,0,2
charge_radius,82,110,0,2
charge_radius,82,111,0,2
charge_radius,82,112,0,2
charge_radius,82,113,0,2
charge_radius,82,114,0,2
charge_radius,82,115,0,2
charge_radius,82,116,0,2
charge_radius,82,117,0,2
charge_radius,82,118,0,2
charge_radius,82,119,0,2
charge_radius,82,120,0,2
charge_radius,82,121,0,2
charge_radius,82,122,0,2
charge_radius,82,123,0,2
charge_radius,82,124,0,2
charge_radius,82,125,0,2
charge_radius,82,126,0,2
charge_radius,82,127,0,2
charge_radius,82,128,0,2
charge_radius,82,129,0,2
charge_radius,82,130,0,2
charge_radius,82,132,0,2
charge_radius,83,119,0,2
charge_radius,83,120,0,2
charge_radius,83,121,0,2
charge_radius,83,122,0,2
charge_radius,83,123,0,2
charge_radius,83,124,0,2
charge_radius,83,125,0,2
charge_radius,83,126,0,2
charge_radius,83,127,0,2
charge_radius,83,129,0,2
charge_radius,83,130,0,2
charge_radius,84,108,0,2
charge_radius,84,110,0,2
charge_radius,84,112,0,2
charge_radius,84,114,0,2
charge_radius,84,116,0,2
charge_radius,84,118,0,2
charge_radius,84,120,0,2
charge_radius,84,121,0,2
charge_radius,84,122,0,2
charge_radius,84,123,0,2
charge_radius,84,124,0,2
charge_radius,84,125,0,2
charge_radius,84,126,0,2
charge_radius,84,132,0,2
charge_radius,84,134,0,2
charge_radius,86,116,0,2
charge_radius,86,118,0,2
charge_radius,86,119,0,2
charge_radius,86,120,0,2
charge_radius,86,121,0,2
charge_radius,86,122,0,2
charge_radius,86,123,0,2
charge_radius,86,124,0,2
charge_radius,86,125,0,2
charge_radius,86,126,0,2
charge_radius,86,132,0,2
charge_radius,86,133,0,2
charge_radius,86,134,0,2
charge_radius,86,135,0,2
charge_radius,86,136,0,2
charge_radius,87,120,0,2
charge_radius,87,121,0,2
charge_radius,87,122,0,2
charge_radius,87,123,0,2
charge_radius,87,124,0,2
charge_radius,87,125,0,2
charge_radius,87,126,0,2
charge_radius,87,133,0,2
charge_radius,87,134,0,2
charge_radius,87,135,0,2
charge_radius,87,136,0,2
charge_radius,87,137,0,2
charge_radius,87,138,0,2
charge_radius,87,139,0,2
charge_radius,87,140,0,2
charge_radius,87,141,0,2
charge_radius,88,120,0,2
charge_radius,88,121,0,2
charge_radius,88,122,0,2
charge_radius,88,123,0,2
charge_radius,88,124,0,2
charge_radius,88,125,0,2
charge_radius,88,126,0,2
charge_radius,88,132,0,2
charge_radius,88,133,0,2
charge_radius,88,134,0,2
charge_radius,88,135,0,2
charge_radius,88,136,0,2
charge_radius,88,137,0,2
charge_radius,88,138,0,2
charge_radius,88,139,0,2
charge_radius,88,140,0,2
charge_radius,88,141,0,2
charge_radius,88,142,0,2
charge_radius,88,144,0,2
charge_radius,90,137,0,2
charge_radius,90,138,0,2
charge_radius,90,139,0,2
charge_radius,90,140,0,2
charge_radius,90,142,0,2
charge_radius,92,141,0,2
charge_radius,92,142,0,2
charge_radius,92,143,0,2
charge_radius,92,144,0,2
charge_radius,92,146,0,2
charge_radius,94,144,0,2
charge_radius,94,145,0,2
charge_radius,94,146,0,2
charge_radius,94,147,0,2
charge_radius,94,148,0,2
charge_radius,94,150,0,2
charge_radius,95,146,0,2
charge_radius,95,148,0,2
charge_radius,96,146,0,2
charge_radius,96,148,0,2
charge_radius,96,149,0,2
charge_radius,96,150,0,2
charge_radius,96,152,0,2
charge_radius,11,11,1,3
charge_radius,11,12,1,3
charge_radius,11,13,1,3
charge_radius,11,14,1,3
charge_radius,11,15,1,3
charge_radius,11,16,1,3
charge_radius,11,17,1,3
charge_radius,11,18,1,3
charge_radius,11,19,1,3
charge_radius,11,20,1,3
charge_radius,12,12,1,3
charge_radius,12,13,1,3
charge_radius,12,14,1,3
charge_radius,13,14,1,3
charge_radius,14,14,1,3
charge_radius,14,15,1,3
charge_radius,14,16,1,3
charge_radius,15,16,1,3
charge_radius,16,16,1,3
charge_radius,16,18,1,3
charge_radius,16,20,1,3
charge_radius,17,18,1,3
charge_radius,17,20,1,3
charge_radius,18,14,1,3
charge_radius,18,15,1,3
charge_radius,18,16,1,3
charge_radius,18,17,1,3
charge_radius,18,18,1,3
charge_radius,18,19,1,3
charge_radius,18,20,1,3
charge_radius,18,21,1,3
charge_radius,18,22,1,3
charge_radius,18,23,1,3
charge_radius,18,24,1,3
charge_radius,18,25,1,3
charge_radius,18,26,1,3
charge_radius,18,28,1,3
charge_radius,19,19,1,3
charge_radius,19,20,1,3
charge_radius,19,21,1,3
charge_radius,19,22,1,3
charge_radius,19,23,1,3
charge_radius,19,24,1,3
charge_radius,19,25,1,3
charge_radius,19,26,1,3
charge_radius,19,27,1,3
charge_radius,19,28,1,3
charge_radius,20,19,1,3
charge_radius,20,20,1,3
charge_radius,20,21,1,3
charge_radius,20,22,1,3
charge_radius,20,23,1,3
charge_radius,20,24,1,3
charge_radius,20,25,1,3
charge_radius,20,26,1,3
charge_radius,20,27,1,3
charge_radius,20,28,1,3
charge_radius,20,30,1,3
charge_radius,21,21,1,3
charge_radius,21,22,1,3
charge_radius,21,23,1,3
charge_radius,21,24,1,3
charge_radius,21,25,1,3
charge_radius,22,22,1,3
charge_radius,22,23,1,3
charge_radius,22,24,1,3
charge_radius,22,25,1,3
charge_radius,22,26,1,3
charge_radius,22,27,1,3
charge_radius,22,28,1,3
charge_radius,23,28,1,3
charge_radius,24,26,1,3
charge_radius,24,28,1,3
charge_radius,24,29,1,3
charge_radius,24,30,1,3
charge_radius,25,25,1,3
charge_radius,25,26,1,3
charge_radius,25,27,1,3
charge_radius,25,28,1,3
charge_radius,25,29,1,3
charge_radius,25,30,1,3
charge_radius,25,31,1,3
charge_radius,26,28,1,3
charge_radius,26,30,1,3
charge_radius,26,31,1,3
charge_radius,26,32,1,3
charge_radius,27,32,1,3
charge_radius,28,30,1,3
charge_radius,28,32,1,3
charge_radius,28,33,1,3
charge_radius,28,34,1,3
charge_radius,28,36,1,3
charge_radius,29,34,1,3
charge_radius,29,36,1,3
charge_radius,30,34,1,3
charge_radius,30,36,1,3
charge_radius,30,37,1,3
charge_radius,30,38,1,1
charge_radius,30,40,1,1
charge_radius,31,38,1,1
charge_radius,31,40,1,1
charge_radius,32,38,1,1
charge_radius,32,40,1,1
charge_radius,32,41,1,1
charge_radius,32,42,1,1
charge_radius,32,44,1,1
charge_radius,33,42,1,1
charge_radius,34,40,1,1
charge_radius,34,42,1,1
charge_radius,34,43,1,1
charge_radius,34,44,1,1
charge_radius,34,46,1,1
charge_radius,34,48,1,1
charge_radius,35,44,1,1
charge_radius,35,46,1,1
charge_radius,36,36,1,1
charge_radius,36,38,1,1
charge_radius,36,39,1,1
charge_radius,36,40,1,1
charge_radius,36,41,1,1
charge_radius,36,42,1,1
charge_radius,36,43,1,1
charge_radius,36,44,1,1
charge_radius,36,45,1,1
charge_radius,36,46,1,1
charge_radius,36,47,1,1
charge_radius,36,48,1,1
charge_radius,36,49,1,1
charge_radius,36,50,1,1
